# Datetime, equity ($), cash flow ($)
2023-11-09 19:26:07.299495,1089.38,0
2023-11-09 19:30:24.168968,1089.38,0
2023-11-09 19:36:15.751040,1089.38,0
2023-11-09 19:41:17.666607,1089.38,0
2023-11-09 19:46:03.681606,1089.38,0
2023-11-09 19:51:25.928866,1089.38,0
2023-11-09 19:55:54.877629,1089.38,0
2023-11-09 20:01:10.571200,1089.38,0
2023-11-09 20:07:05.483674,1089.38,0
2023-11-09 20:11:16.998346,1089.38,0
2023-11-09 20:15:52.059056,1089.38,0
2023-11-09 20:21:22.793782,1089.38,0
2023-11-09 20:25:51.569464,1089.38,0
2023-11-09 20:31:11.760045,1089.38,0
2023-11-09 20:36:12.417393,1089.38,0
2023-11-09 20:40:29.798691,1089.38,0
2023-11-09 20:46:00.674136,1089.38,0
2023-11-09 20:50:49.656454,1089.38,0
2023-11-09 20:56:05.654682,1089.38,0
2023-11-09 21:01:05.823427,1089.38,0
2023-11-09 21:06:05.752328,1089.38,0
2023-11-09 21:11:21.867589,1089.38,0
2023-11-09 21:16:02.052309,1089.38,0
2023-11-09 21:20:45.109528,1089.38,0
2023-11-09 21:26:05.418265,1089.38,0
2023-11-09 21:30:38.413439,1089.38,0
2023-11-09 21:36:08.318267,1089.38,0
2023-11-09 21:40:25.215525,1089.38,0
2023-11-09 21:45:16.939638,1089.38,0
2023-11-09 21:50:08.310230,1089.38,0
2023-11-09 21:55:42.067018,1089.38,0
2023-11-10 15:42:08.189844,1087.77,0
2023-11-10 15:45:36.342100,1088.93,0
2023-11-10 15:51:13.006552,1090.58,0
2023-11-10 15:56:03.131150,1091.4,0
2023-11-10 16:01:52.358467,1089.34,0
2023-11-10 16:06:35.284196,1087.73,0
2023-11-10 16:11:32.198229,1087.94,0
2023-11-10 16:15:50.737509,1089.01,0
2023-11-10 16:20:33.853131,1089.55,0
2023-11-10 16:25:09.634227,1089.51,0
2023-11-10 16:31:20.854734,1087.44,0
2023-11-10 16:36:12.944946,1087.36,0
2023-11-10 16:41:18.701626,1087.52,0
2023-11-10 16:46:09.170492,1087.03,0
2023-11-10 16:50:25.470283,1086.62,0
2023-11-10 16:56:11.518775,1086.62,0
2023-11-10 17:00:17.898085,1086.78,0
2023-11-10 17:05:57.734515,1089.26,0
2023-11-10 17:11:14.230301,1090.37,0
2023-11-10 17:17:32.802021,1091.32,0
2023-11-10 17:21:26.327367,1092.89,0
2023-11-10 17:26:05.743005,1092.31,0
2023-11-10 17:30:33.653516,1093.88,0
2023-11-10 17:35:37.470541,1093.8,0
2023-11-10 17:41:08.087757,1092.72,0
2023-11-10 17:45:46.541869,1093.38,0
2023-11-10 17:51:19.277865,1094.29,0
2023-11-10 18:01:54.454949,1095.36,0
2023-11-10 18:06:05.883269,1096.07,0
2023-11-10 18:11:19.458434,1096.11,0
2023-11-10 18:16:16.317021,1096.23,0
2023-11-10 18:21:33.586372,1096.19,0
2023-11-10 18:27:14.407003,1096.23,0
2023-11-10 18:31:14.565222,1094.95,0
2023-11-10 18:36:00.075443,1095.45,0
2023-11-10 18:41:23.734695,1096.52,0
2023-11-10 18:46:24.837628,1096.93,0
